# Exam 1 score	 Exam 2 score	 result
6.92	15.60	0
6.06	8.78	0
7.17	14.58	0
12.04	17.26	1
15.81	15.07	1
9.02	11.26	0
12.22	19.30	1
15.00	9.31	1
15.22	17.48	1
16.89	8.71	1
19.17	7.65	0
15.00	6.12	0
16.46	15.30	1
13.87	19.54	1
7.91	15.21	0
10.79	17.84	1
13.81	10.55	1
13.59	9.34	0
14.13	18.59	1
15.40	9.52	1
13.47	8.57	0
17.94	13.16	1
10.11	9.77	0
6.84	8.84	0
15.58	13.79	1
12.45	13.99	1
16.04	8.96	1
18.62	7.76	0
12.37	10.05	0
7.76	13.00	0
12.28	14.56	1
17.08	11.41	1
10.42	12.63	0
10.41	13.89	1
8.05	14.23	0
10.93	10.44	0
6.78	19.77	0
12.84	16.18	1
14.96	8.31	0
6.84	15.05	0
16.78	11.26	1
10.31	9.37	0
18.89	13.11	1
16.47	8.12	0
10.21	9.16	0
12.44	10.41	0
15.44	14.09	1
19.55	17.35	1
12.41	19.35	1
18.31	17.74	1
15.99	14.83	1
19.85	12.20	1
18.11	8.68	1
6.90	12.08	0
10.06	9.96	0
9.92	11.96	0
19.53	13.77	1
6.52	19.12	0
14.85	13.96	1
14.36	15.69	1
15.08	17.15	1
7.06	9.40	0
11.25	7.85	0
6.01	9.92	0
8.93	13.29	0
13.31	8.22	0
8.09	19.51	1
9.81	10.38	0
16.06	18.42	1
13.35	12.20	1
6.54	8.66	0
12.81	15.61	1
14.47	19.25	1
12.09	14.62	1
11.77	15.17	1
19.97	14.47	1
9.45	17.70	1
10.09	15.16	1
12.09	8.50	0
16.45	8.54	0
17.78	13.96	1
18.97	9.14	1
13.46	13.32	1
11.45	11.90	1
16.07	18.19	1
13.69	17.12	1
8.42	15.77	0
15.10	18.08	1
15.73	19.33	1
10.47	12.15	0
18.82	15.43	1
18.09	17.50	1
11.10	7.11	0
14.90	16.97	1
17.97	9.07	1
16.70	9.68	1
8.45	17.42	1
19.86	13.76	1
11.07	12.99	1
14.96	17.91	1
